id,year,course name,status
2783896,2,(biotechnology)),not allowed
2783901,1,social science,not allowed
2783902,2,social science,not allowed
2783905,1,lib. & info sci,not allowed
2783958,1,electronics & comm. engg.,not allowed
2783959,2,electronics & comm. engg.,not allowed
2783960,4,electronics & comm. engg.,not allowed
2783966,1,english,allowed
2783967,2,english,allowed
2783973,4,punjabi,not allowed
2783979,1,full time,not allowed
2783990,4,physical edu.,not allowed
2784019,1,bpt,not allowed
2784020,2,bpt,not allowed
2784021,3,bpt,not allowed
2784022,4,bpt,not allowed
2784027,1,mangement,not allowed
2784028,2,mangement,not allowed
2784029,3,mangement,not allowed
2784088,1,bzc,allowed
2784089,2,bzc,allowed
2784090,3,bzc,allowed
2784108,1,zoology,allowed
2784109,2,zoology,allowed
2784136,1,coumputer science,allowed
2784137,2,coumputer science,allowed
2784138,3,coumputer science,allowed
2784154,1,commerce,allowed
2784155,2,commerce,allowed
2784162,1,chemistry,allowed
2784163,2,chemistry,allowed
2784164,3,chemistry,allowed
2784175,1,maths,allowed
2784176,2,maths,allowed
2784203,1,zoology,allowed
2784204,2,zoology,allowed
2784233,1,computer science,allowed
2784234,2,computer science,allowed
2784241,4,hindi,allowed
2784360,1,b.ed.,not allowed
2784361,2,b.ed.,not allowed
2784397,1,power systems engineering,not allowed
2784398,2,power systems engineering,not allowed
2784407,1,computer integrated manufacturing,not allowed
2784408,2,computer integrated manufacturing,not allowed
2784411,1,automobile engineering,not allowed
2784412,2,automobile engineering,not allowed
2784435,1,chemical engineering,allowed
2784436,2,chemical engineering,allowed
2784437,3,chemical engineering,allowed
2784438,4,chemical engineering,allowed
2784465,1,m.sc chemistry(analytical chemistry),not allowed
2784466,2,m.sc chemistry(analytical chemistry),not allowed
2784491,1,if,not allowed
2784492,2,if,not allowed
2784493,3,if,not allowed
2784515,1,arts,allowed
2784516,2,arts,allowed
2784517,3,arts,allowed
2784531,1,arts,allowed
2784532,2,arts,allowed
2784533,3,arts,allowed
2784600,1,arts,allowed
2784601,2,arts,allowed
2784602,3,arts,allowed
2784617,1,kayachikitsa,not allowed
2784618,2,kayachikitsa,not allowed
2784619,3,kayachikitsa,not allowed
2784632,1,rasshastra evum bhaisgya kalpana,not allowed
2784633,2,rasshastra evum bhaisgya kalpana,not allowed
2784634,3,rasshastra evum bhaisgya kalpana,not allowed
2784671,1,electrical,allowed
2784672,2,electrical,allowed
2784673,3,electrical,allowed
2784723,1,arts,allowed
2784724,2,arts,allowed
2784748,1,thermal power engineering,not allowed
2784749,2,thermal power engineering,not allowed
2784884,1,msc cs,not allowed
2784885,2,msc cs,not allowed
2784890,1,pgdca,not allowed
2784899,1,electros & communicationnic,not allowed
2784900,2,electros & communicationnic,not allowed
2784901,3,electros & communicationnic,not allowed
2784902,4,electros & communicationnic,not allowed
2683699,2,home science,allowed
2683700,3,home science,allowed
2683688,3,urdu,allowed
2683686,1,urdu,allowed
2683698,1,home science,allowed
2683687,2,urdu,allowed
2784912,1,yes,not allowed
2784913,2,yes,not allowed
2784914,3,yes,not allowed
2784915,1,math chemistry,not allowed
2784916,2,math chemistry,not allowed
2784927,1,dcp,not allowed
2784928,2,dcp,not allowed
2784929,3,dcp,not allowed
2784948,1,mechanical engineering,allowed
2784949,2,mechanical engineering,allowed
2784950,3,mechanical engineering,allowed
2784951,4,mechanical engineering,allowed
2784989,1,pharmacognosy,not allowed
2784990,2,pharmacognosy,not allowed
2785019,1,deee,not allowed
2785020,2,deee,not allowed
2785021,3,deee,not allowed
2785051,1,arts,allowed
2785052,2,arts,allowed
2785053,3,arts,allowed
2785078,1,science,allowed
2785079,2,science,allowed
2785093,4,physical education,not allowed
2785095,1,physical education,not allowed
2785099,4,environmental science,not allowed
2785103,4,aqua culture,not allowed
2785119,1,botany,allowed
2785120,2,botany,allowed
2785174,1,nanotechnology,allowed
2785175,2,nanotechnology,allowed
2785176,3,nanotechnology,allowed
2785177,4,nanotechnology,allowed
2785178,5,nanotechnology,allowed
2785191,4,statistics,not allowed
2785218,4,history & archeology,not allowed
2785223,1,history & archeology,not allowed
2785230,1,management,allowed
2785231,2,management,allowed
2785301,1,mca,allowed
2785302,2,mca,allowed
2785326,1,mathematics,allowed
2785327,2,mathematics,allowed
2785328,3,mathematics,allowed
2785329,1,commerce,allowed
2785343,1,english,allowed
2785344,2,english,allowed
2785367,1,history,allowed
2785368,1,international business,not allowed
2785369,2,international business,not allowed
2785373,1,computer science,allowed
2785374,2,computer science,allowed
2785375,3,computer science,allowed
2785379,1,chemstry,not allowed
2785380,1,history,allowed
2785381,2,history,allowed
2785382,3,history,allowed
2785388,1,geography,allowed
2785389,2,geography,allowed
2785390,3,geography,allowed
2785405,1,physics,allowed
2785406,2,physics,allowed
2785407,3,physics,allowed
2785412,1,education,allowed
2785457,1,computer,allowed
2785458,2,computer,allowed
2785491,1,commerce,allowed
2785492,2,commerce,allowed
2785493,3,commerce,allowed
2636995,3,yoga,allowed
2636997,2,yoga,allowed
2637012,1,yoga,allowed
2637002,3,yoga,allowed
2637000,1,yoga,allowed
2637001,2,yoga,allowed
2637013,3,yoga,allowed
2636994,2,yoga,allowed
2636993,1,yoga,allowed
2636996,1,yoga,allowed
2637015,2,yoga,allowed
2785550,1,arts/science,not allowed
2785574,1,b.ed,not allowed
2785617,1,science,allowed
2785618,2,science,allowed
2785619,3,science,allowed
2785620,4,science,allowed
2785666,1,education,allowed
2785677,1,finance,allowed
2785678,2,finance,allowed
2785679,3,finance,allowed
2620066,1,nursing,allowed
2620067,2,nursing,allowed
2785735,1,computer science,allowed
2785765,1,computer science,allowed
2785830,1,computer science,allowed
2785894,1,me,allowed
2785895,1,me,allowed
2785896,2,me,allowed
2785897,2,me,allowed
2785898,3,me,allowed
2785899,3,me,allowed
2785900,4,me,allowed
2785901,4,me,allowed
2785902,1,cse,allowed
2785903,1,cse,allowed
2785904,2,cse,allowed
2785905,2,cse,allowed
2785906,3,cse,allowed
2785907,3,cse,allowed
2785908,4,cse,allowed
2785909,4,cse,allowed
2693668,4,nursing,allowed
2693665,2,nursing,allowed
2693666,3,nursing,allowed
2693663,1,nursing,allowed
2693669,4,nursing,allowed
2693667,3,nursing,allowed
2693662,1,nursing,allowed
2693664,2,nursing,allowed
2785978,1,electrical engg,not allowed
2785979,2,electrical engg,not allowed
2785980,3,electrical engg,not allowed
2785981,4,electrical engg,not allowed
2786016,4,ee,allowed
2786017,4,ee,allowed
2786026,1,arts,allowed
2786027,2,arts,allowed
2786028,3,arts,allowed
2786044,1,science,allowed
2786045,2,science,allowed
2786046,3,science,allowed
2786047,1,arts,allowed
2786048,2,arts,allowed
2786049,3,arts,allowed
2786097,1,marathi,allowed
2786098,2,marathi,allowed
2786099,3,marathi,allowed
2786119,1,bsc mpe,not allowed
2786120,2,bsc mpe,not allowed
2786121,3,bsc mpe,not allowed
2786131,1,bsc btmc,not allowed
2786132,2,bsc btmc,not allowed
2786133,3,bsc btmc,not allowed
2786153,1,electronic,not allowed
2786154,2,electronic,not allowed
2786155,3,electronic,not allowed
2786163,1,science,allowed
2786164,2,science,allowed
2786165,3,science,allowed
2786184,1,technician,not allowed
2786185,1,lab technology,not allowed
2786186,2,lab technology,not allowed
2786226,1,commerce,allowed
2786227,2,commerce,allowed
2786228,3,commerce,allowed
2545861,3,engineering,allowed
2545858,1,engineering,allowed
2545862,3,engineering,allowed
2545860,2,engineering,allowed
2545859,2,engineering,allowed
2545863,4,engineering,allowed
2545864,4,engineering,allowed
2545857,1,engineering,allowed
2786230,1,bzc,allowed
2786231,2,bzc,allowed
2786232,3,bzc,allowed
2786248,1,mechanical engg,allowed
2786249,2,mechanical engg,allowed
2786250,1,mechanical engg,allowed
2786251,2,mechanical engg,allowed
2786252,3,mechanical engg,allowed
2786253,4,mechanical engg,allowed
2786266,1,biotechnology,allowed
2786267,2,biotechnology,allowed
2786268,3,biotechnology,allowed
2786269,4,biotechnology,allowed
2786369,1,general medicine,allowed
2786370,1,general medicine,allowed
2786371,2,general medicine,allowed
2786372,2,general medicine,allowed
2786373,3,general medicine,allowed
2786374,3,general medicine,allowed
2786429,1,mbbs,allowed
2786430,1,mbbs,allowed
2786431,2,mbbs,allowed
2786432,2,mbbs,allowed
2786433,3,mbbs,allowed
2786434,3,mbbs,allowed
2786435,4,mbbs,allowed
2786436,4,mbbs,allowed
2786437,5,mbbs,allowed
2786438,5,mbbs,allowed
2786466,1,civil,allowed
2786467,2,civil,allowed
2786468,3,civil,allowed
2786491,1,education,allowed
2786492,2,education,allowed
2786513,1,computer science,allowed
2786514,2,computer science,allowed
2786515,3,computer science,allowed
2786559,1,polotical,not allowed
2786560,2,polotical,not allowed
2786563,1,sociology,allowed
2786564,2,sociology,allowed
2518514,2,engg. & tech.,not allowed
2518516,4,engg. & tech.,not allowed
2518513,1,engg. & tech.,not allowed
